player,pos,age,team,game,fg,3p,2p,reb,ast,pts,year,2020contract,2020predict,differential
Andre Drummond,C,26,CLE,57,0.533,0.143,0.551,15.2,2.7,17.7,2019,"$28,751,775 ","$17,922,500 ","$10,829,275 "
Anthony Davis,C,26,LAL,62,0.436,0.335,0.541,9.3,3.2,26.1,2019,"$32,742,000 ","$26,750,000 ","$5,992,000 "
Karl-Anthony Towns,C,24,MIN,35,0.412,0.222,0.473,10.8,4.4,26.5,2019,"$29,467,800 ","$17,922,500 ","$11,545,300 "
Aaron Gordon,PF,24,ORL,62,0.47,0.369,0.457,7.7,3.7,14.4,2019,"$18,136,364 ","$9,631,250 ","$8,505,114 "
Bobby Portis,PF,24,NYK,66,0.45,0.358,0.493,5.1,1.5,10.1,2019,"$3,623,000 ","$9,631,250 ","($6,008,250)"
Giannis Antetokounmpo,PF,25,MIL,63,0.475,0.379,0.565,13.6,5.6,29.5,2019,"$27,528,088 ","$28,750,000 ","($1,221,912)"
Julius Randle,PF,25,NYK,64,0.45,0.297,0.561,9.7,3.1,19.5,2019,"$18,900,000 ","$19,262,500 ","($362,500)"
Montrezl Harrell,PF,26,LAC,63,0.425,0.429,0.495,7.1,1.7,18.6,2019,"$9,258,000 ","$19,262,500 ","($10,004,500)"
D'Angelo Russell,PG,23,GSW,33,0.457,0.391,0.424,3.7,6.2,23.6,2019,"$15,500,000 ","$20,602,500 ","($5,102,500)"
Elfrid Payton,PG,25,NYK,45,0.402,0.378,0.391,4.7,7.2,10,2019,"$5,767,000 ","$10,301,250 ","($4,534,250)"
Kemba Walker,PG,29,BOS,56,0.425,0.381,0.476,3.9,4.8,20.4,2019,"$34,379,100 ","$20,602,500 ","$13,776,600 "
Terry Rozier,PG,25,CHO,63,0.423,0.376,0.436,4.4,4.1,18,2019,"$18,900,000 ","$20,602,500 ","($1,702,500)"
Andrew Wiggins,SF,24,GSW,54,0.447,0.332,0.506,5.1,3.7,21.8,2019,"$29,542,010 ","$9,631,250 ","$19,910,760 "
Jae Crowder,SF,29,MIA,20,0.385,0.364,0.543,5.4,1.8,11.9,2019,"$9,258,000 ","$9,631,250 ","($373,250)"
Kawhi Leonard,SF,28,LAC,57,0.58,0.35,0.533,7.1,4.9,27.1,2019,"$34,379,100 ","$28,750,000 ","$5,629,100 "
Kelly Oubre Jr.,SF,24,PHO,56,0.452,0.352,0.511,6.4,1.5,18.7,2019,"$14,375,000 ","$9,631,250 ","$4,743,750 "
Kyle Anderson,SF,26,MEM,67,0.429,0.414,0.5,4.3,2.4,5.8,2019,"$9,505,100 ","$9,631,250 ","($126,150)"
T.J. Warren,SF,26,IND,67,0.438,0.403,0.508,4.2,1.5,19.8,2019,"$11,750,000 ","$19,262,500 ","($7,512,500)"
Bradley Beal,SG,26,WAS,57,0.466,0.353,0.489,4.2,6.1,30.5,2019,"$28,751,775 ","$17,922,500 ","$10,829,275 "
CJ McCollum,SG,28,POR,70,0.451,0.379,0.494,4.2,4.4,22.2,2019,"$29,354,152 ","$17,922,500 ","$11,431,652 "
Devin Booker,SG,23,PHO,70,0.489,0.354,0.549,4.2,6.5,26.6,2019,"$29,467,800 ","$26,750,000 ","$2,717,800 "
Kentavious Caldwell-Pope,SG,26,LAL,69,0.416,0.359,0.473,2.1,1.6,9.3,2019,"$12,073,020 ","$5,100,000 ","$6,973,020 "
Tim Hardaway Jr.,SG,27,DAL,71,0.427,0.294,0.422,3.3,1.9,15.8,2019,"$18,975,000 ","$5,100,000 ","$13,875,000 "
Zach LaVine,SG,24,CHI,60,0.45,0.38,0.497,4.8,4.2,25.5,2019,"$19,500,000 ","$17,922,500 ","$1,577,500 "
